PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),NO ( µg/m3 )
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
"52,55",-,"4,74","711,63","69,89",-,-
"70,03",-,"4,51","849,45","68,69",-,-
"32,92",-,"3,26","559,74","57,90",-,-
"34,69","12,07","3,42","584,23","55,66","165,44","71,77"
"44,84","23,26","2,90","760,09","69,45","241,63","112,52"
"42,53","18,50","3,12","696,04","83,73","285,32","131,76"
"38,70","19,65","3,67","691,16","83,80","269,72","121,52"
"41,39","20,98","2,84","797,06","83,62","287,68","133,38"
"31,93","17,27","2,84","688,82","87,10","239,25","99,44"
"67,97","30,88","7,30","1.250,90","101,82","517,00","271,37"
"28,25","13,75","2,87","466,75","64,10","211,62","96,41"
"46,21","20,30","4,81","777,02","75,88","360,20","185,84"
"24,99","10,67","31,07","627,37","67,98","200,37","86,53"
"30,77","11,69","3,48","838,49","65,32","232,08","108,98"
"55,24","22,36","5,46","1.087,63","107,27","469,92","236,70"
"32,93","21,71","4,41","815,78","104,76","320,05","140,37"
"37,34","28,62","3,29","1.089,15","109,37","340,50","150,78"
"28,70","21,47","3,16","640,69","85,07","189,21","67,95"
"31,57","8,60","1,60","596,81","80,18","202,74","79,94"
"34,00","9,07","3,32","788,66","80,72","201,57","78,74"
"32,52","14,95","3,21","856,62","97,54","345,42","161,64"
"50,50","16,12","2,48","813,90","98,45","301,45","132,47"
"40,51","17,92","3,30","866,90","112,91","389,43","180,28"
